ID,Genus,Species,Copy,Status,Outgroup,PreWGD,PostWGD,ScreeningID,Screened,Gene_name,CompAUC
Nakaseomyces_bacillisporus_2,Nakaseomyces,bacillisporus,2,Post-WGD_m,0.198488,0.14622,0.135799,HRR25_31.2,No,0,
Nakaseomyces_delphensis_1,Nakaseomyces,delphensis,1,Post-WGD_lost,0.122411,0.070143,0.059722,HRR25_28.1,No,0,
Naumovozyma_castellii_NCAS0A01090,Naumovozyma,castellii,NCAS0A01090,Post-WGD_m,0.447644,0.395376,0.384955,HRR25_18.1,Yes,NCAS0A01090,0.352490437
Naumovozyma_castellii_NCAS0D03820,Naumovozyma,castellii,NCAS0D03820,Post-WGD_m,0.160538,0.10827,0.097849,HRR25_18.2,Yes,NCAS0D03820,0.903618491
Naumovozyma_dairenensis_NDAI0F01640,Naumovozyma,dairenensis,NDAI0F01640,Post-WGD_m,0.383311,0.331043,0.320622,HRR25_19.1,Yes,NDAI0F01640,0.476502316
Naumovozyma_dairenensis_NDAI0I01070,Naumovozyma,dairenensis,NDAI0I01070,Post-WGD_m,0.185391,0.133123,0.122702,HRR25_19.2,Yes,NDAI0I01070,0.923359288
Saccharomyces_arboricola_1,Saccharomyces,arboricola,1,Post-WGD_lost,0.114484,0.062216,0.051795,HRR25_24.1,No,0,
Saccharomyces_cerevisiae_1,Saccharomyces,cerevisiae,1,Post-WGD_lost,0.10135,0.049082,0.038661,HRR25_20.1,Yes,YPL204W,0.880841757
Saccharomyces_eubayanus_1,Saccharomyces,eubayanus,1,Post-WGD_lost,0.113864,0.061596,0.051175,HRR25_25.1,No,0,
Saccharomyces_kudriavzevii_1,Saccharomyces,kudriavzevii,1,Post-WGD_lost,0.112357,0.060089,0.049668,HRR25_23.1,Yes,SKDZ16G0730,0.934128762
Saccharomyces_mikatae_1,Saccharomyces,mikatae,1,Post-WGD_lost,0.109778,0.05751,0.047089,HRR25_22.1,Yes,SMKI06G3130,0.912534249
Saccharomyces_paradoxus_1,Saccharomyces,paradoxus,1,Post-WGD_lost,0.105865,0.053597,0.043176,HRR25_21.1,No,0,
Saccharomyces_uvarum_1,Saccharomyces,uvarum,1,Post-WGD_lost,0.113968,0.0617,0.051279,HRR25_26.1,Yes,Suva_16.102,0.837386065
Tetrapisispora_blattae_TBLA0A02040,Tetrapisispora,blattae,TBLA0A02040,Post-WGD_m,0.683648,0.63138,0.620959,HRR25_39.1,Yes,TBLA0A02040,0.343167325
Tetrapisispora_blattae_TBLA0B05310,Tetrapisispora,blattae,TBLA0B05310,Post-WGD_m,0.26315,0.210882,0.200461,HRR25_39.2,Yes,TBLA0B05310,0.916135991
Tetrapisispora_fleetii_1,Tetrapisispora,fleetii,1,Post-WGD_m,0.290972,0.238704,0.228283,HRR25_33.1,No,0,
Tetrapisispora_fleetii_2,Tetrapisispora,fleetii,2,Post-WGD_m,0.528766,0.476498,0.466077,HRR25_33.2,No,0,
Tetrapisispora_iriomotensis_1,Tetrapisispora,iriomotensis,1,Post-WGD_m,0.486929,0.434661,0.42424,HRR25_36.1,No,0,
Tetrapisispora_iriomotensis_2,Tetrapisispora,iriomotensis,2,Post-WGD_m,0.262183,0.209915,0.199494,HRR25_36.2,No,0,
Tetrapisispora_namnaonensis_1,Tetrapisispora,namnaonensis,1,Post-WGD_m,0.29746,0.245192,0.234771,HRR25_34.1,No,0,
Tetrapisispora_namnaonensis_2,Tetrapisispora,namnaonensis,2,Post-WGD_m,0.523592,0.471324,0.460903,HRR25_34.2,No,0,
Tetrapisispora_phaffii_TPHA0E02830,Tetrapisispora,phaffii,TPHA0E02830,Post-WGD_m,0.287585,0.235317,0.224896,HRR25_35.1,Yes,TPHA0E02830,0.945810159
Tetrapisispora_phaffii_TPHA0J02370,Tetrapisispora,phaffii,TPHA0J02370,Post-WGD_m,0.522248,0.46998,0.459559,HRR25_35.2,Yes,TPHA0J02370,0.406048759
Torulaspora_delbrueckii_1,Torulaspora,delbrueckii,1,Non-WGD,0.070787,0.018519,0.02894,HRR25_42.1,Yes,TDEL0E05230,0.926545122
Torulaspora_franciscae_1,Torulaspora,franciscae,1,Non-WGD,0.064509,0.012241,0.022662,HRR25_41.1,No,0,
Torulaspora_maleeae_1,Torulaspora,maleeae,1,Non-WGD,0.064928,0.01266,0.023081,HRR25_43.1,No,0,
Torulaspora_microellipsoides_1,Torulaspora,microellipsoides,1,Non-WGD,0.073734,0.021466,0.031887,HRR25_46.1,No,0,
Torulaspora_pretoriensis_1,Torulaspora,pretoriensis,1,Non-WGD,0.064036,0.011768,0.022189,HRR25_40.1,No,0,
Vanderwaltozyma_polyspora_Kpol1002p53,Vanderwaltozyma,polyspora,Kpol1002p53,Post-WGD_m,0.273194,0.220926,0.210505,HRR25_37.1,Yes,Kpol1002p53,0.912209402
Vanderwaltozyma_polyspora_Kpol1033p51,Vanderwaltozyma,polyspora,Kpol1033p51,Post-WGD_m,0.293167,0.240899,0.230478,HRR25_37.2,Yes,Kpol1033p51,0.325062232
Yueomyces_sinensis_1,Yueomyces,sinensis,1,Post-WGD_m,0.269561,0.217293,0.206872,HRR25_38.1,No,0,
Yueomyces_sinensis_2,Yueomyces,sinensis,2,Post-WGD_m,0.544652,0.492384,0.481963,HRR25_38.2,No,0,
Zygosaccharomyces_bailii_1,Zygosaccharomyces,bailii,1,Non-WGD,0.074871,0.022603,0.033024,HRR25_48.1,No,0,
Zygosaccharomyces_bisporus_1,Zygosaccharomyces,bisporus,1,Non-WGD,0.073383,0.021115,0.031536,HRR25_47.1,No,0,
Zygosaccharomyces_kombuchaensis_1,Zygosaccharomyces,kombuchaensis,1,Non-WGD,0.067057,0.014789,0.02521,HRR25_49.1,No,0,
Zygosaccharomyces_rouxii_1,Zygosaccharomyces,rouxii,1,Non-WGD,0.081149,0.028881,0.039302,HRR25_50.1,Yes,ZYRO0G08866g,0.834800794
Zygotorulaspora_florentina_1,Zygotorulaspora,florentina,1,Non-WGD,0.069329,0.017061,0.027482,HRR25_45.1,No,0,
Zygotorulaspora_mrakii_1,Zygotorulaspora,mrakii,1,Non-WGD,0.080112,0.027844,0.038265,HRR25_44.1,No,0,
