,Genome,Contig,q_start,q_end,Subject,s_start,s_end,strand
29,tetrapisispora_phaffii.fas,NC_016524.1,591807,592707,Vanderwaltozyma_polyspora_Kpol_1033p51,4,903,1
30,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kazachstania_exigua_HRR25_2,1,909,1
31,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kazachstania_saulgeensis_KASA_0K01848G,1,909,1
32,tetrapisispora_phaffii.fas,NC_016524.1,591805,592719,Kazachstania_africana_KAFR_0K00320,1,915,1
33,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Vanderwaltozyma_polyspora_Kpol_1002p53,1,908,1
34,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_eubayanus_DI49_5263,1,909,1
35,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_pastorianus_GRS66_010945,1,909,1
36,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kazachstania_saulgeensis_KASA_0P01430G,1,909,1
37,tetrapisispora_phaffii.fas,NC_016524.1,591805,592718,Kazachstania_barnettii_KABA2_06S03410,1,915,1
38,tetrapisispora_phaffii.fas,NC_016524.1,591805,592714,Zygosaccharomyces_rouxii_ZYRO0G08866g,1,910,1
39,tetrapisispora_phaffii.fas,NC_016524.1,591805,592714,Naumovozyma_castellii_NCAS_0D03820,1,910,1
40,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kazachstania_africana_KAFR_0C02290,1,909,1
41,tetrapisispora_phaffii.fas,NC_016524.1,591805,592808,Tetrapisispora_blattae_TBLA0B05310,1,1004,1
42,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_uvarum_SUVC_16G0780,1,909,1
43,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_bayanus_var.uvarum_Suva_16.102,1,909,1
44,tetrapisispora_phaffii.fas,NC_016524.1,591805,592714,Naumovozyma_dairenensis_NDAI_0I01070,1,910,1
45,tetrapisispora_phaffii.fas,NC_016524.1,591805,592715,Zygotorulaspora_mrakii_HG535_0B00830,1,911,1
46,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces##mikatae_SMKI_06G3130,1,909,1
47,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Kazachstania_exigua_HRR25_1,1,908,1
48,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Saccharomyces_paradoxus_CP020257.1_cds_QHS76536.1_1,1,908,1
49,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kluyveromyces_lactis_KLLA0_D03168g,1,909,1
50,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces##kudriavzevii_SKDZ_16G0730,1,909,1
51,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Kazachstania_barnettii_KABA2_04S02882,1,909,1
52,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_cerevisiae_YPL204W,1,909,1
53,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Zygosaccharomyces_parabailii_ZPAR0K01220_B,1,908,1
54,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Torulaspora_delbrueckii_TDEL_0E05230,1,908,1
55,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Saccharomyces_pastorianus_GRS66_005211,1,909,1
56,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Zygosaccharomyces_bailii_FUGC01000003.1_cds_SJM83735.1_1,1,908,1
57,tetrapisispora_phaffii.fas,NC_016524.1,591805,592712,Zygosaccharomyces_parabailii_ZPAR0C01310_A,1,908,1
58,tetrapisispora_phaffii.fas,NC_016524.1,591805,592713,Torulaspora_globosa_HG536_0E05330,1,909,1
59,tetrapisispora_phaffii.fas,NC_016529.1,523628,525016,Tetrapisispora_phaffii_TPHA_0J02370,1389,1,-1
60,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408276,Lachancea_fermentati_LAFE_0C04588G,1,1392,1
61,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408050,Lachancea_thermotolerans_KLTH0H04158g,1,1169,1
62,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408060,Lachancea_mirantina_LAMI_0G10330G,1,1188,1
63,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408050,Lachancea_quebecensis_LAQU0_S08e03994g,1,1169,1
64,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408089,Lachancea_dasiensis_LADA_0H10132G,1,1211,1
65,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408082,Lachancea_lanzarotensis_LALA0_S05e05996g,1,1201,1
66,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408094,Lachancea_nothofagi_LANO_0E04126G,1,1210,1
67,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408088,Lachancea_meyersii_LAME_0B04214G,1,1204,1
68,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408035,Saccharomyces##kudriavzevii_SKDZ_16G0730,1,1175,1
69,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407964,Saccharomyces_eubayanus_DI49_5263,1,1101,1
70,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Nakaseomyces_glabratus_CAGL0H03553g,1,908,1
71,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407795,Zygosaccharomyces_rouxii_ZYRO0G08866g,1,911,1
72,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407964,Saccharomyces_pastorianus_GRS66_010945,1,1101,1
73,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Kluyveromyces_marxianus_KLMA_10641_Corrected_start_codon,1,908,1
74,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Saccharomyces_uvarum_SUVC_16G0780,1,908,1
75,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Saccharomyces_bayanus_var.uvarum_Suva_16.102,1,908,1
76,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407793,Eremothecium_cymbalariae_Ecym_2202,1,909,1
77,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407793,Eremothecium_gossypii_AGOS_AFL091W,1,909,1
78,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407803,Zygosaccharomyces_bailii_FUGC01000003.1_cds_SJM83735.1_1,1,918,1
79,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407803,Zygosaccharomyces_parabailii_ZPAR0C01310_A,1,918,1
80,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407803,Zygosaccharomyces_parabailii_ZPAR0K01220_B,1,918,1
81,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,408045,Naumovozyma_castellii_NCAS_0D03820,1,1152,1
82,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Saccharomyces_cerevisiae_YPL204W,1,908,1
83,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Saccharomyces_pastorianus_GRS66_005211,1,908,1
84,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407792,Saccharomyces##mikatae_SMKI_06G3130,1,908,1
85,GCA_900074765.1_LAFE0_genomic.fna,LT598485.1,406885,407793,Saccharomyces_paradoxus_CP020257.1_cds_QHS76536.1_1,1,909,1
86,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24794,Kazachstania_saulgeensis_KASA_0K01848G,1,1176,1
87,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24786,Kazachstania_exigua_HRR25_2,1,1148,1
88,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24772,Kazachstania_africana_KAFR_0K00320,1,1136,1
89,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24757,Kazachstania_barnettii_KABA2_06S03410,1,1145,1
90,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24755,Naumovozyma_castellii_NCAS_0D03820,1,1116,1
91,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24789,Naumovozyma_dairenensis_NDAI_0I01070,1,1168,1
92,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24719,Kazachstania_exigua_HRR25_1,1,1122,1
93,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24557,Kazachstania_saulgeensis_KASA_0P01430G,1,909,1
94,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24557,Kazachstania_barnettii_KABA2_04S02882,1,909,1
95,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24725,Kazachstania_africana_KAFR_0C02290,1,1089,1
96,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23651,24551,Vanderwaltozyma_polyspora_Kpol_1033p51,4,903,1
97,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24557,Tetrapisispora_phaffii_TPHA_0E02830,1,909,1
98,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24557,Zygosaccharomyces_rouxii_ZYRO0G08866g,1,909,1
99,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24554,Tetrapisispora_blattae_TBLA0B05310,1,906,1
100,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24769,Vanderwaltozyma_polyspora_Kpol_1002p53,1,1157,1
101,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24572,Zygotorulaspora_mrakii_HG535_0B00830,1,921,1
102,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24725,Saccharomyces_cerevisiae_YPL204W,1,1119,1
103,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055587,23649,24557,Saccharomyces##mikatae_SMKI_06G3130,1,909,1
104,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133586,134725,Naumovozyma_castellii_NCAS_0D03820,1152,1,-1
105,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133586,134725,Naumovozyma_dairenensis_NDAI_0I01070,1170,1,-1
106,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133670,134725,Kazachstania_saulgeensis_KASA_0K01848G,1089,1,-1
107,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133584,134725,Kazachstania_africana_KAFR_0C02290,1157,1,-1
108,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133667,134725,Kazachstania_exigua_HRR25_2,1071,1,-1
109,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133511,134725,Kazachstania_exigua_HRR25_1,1266,1,-1
110,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133562,134725,Kazachstania_barnettii_KABA2_04S02882,1221,1,-1
111,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133676,134725,Kazachstania_barnettii_KABA2_06S03410,1089,1,-1
112,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133517,134725,Kazachstania_saulgeensis_KASA_0P01430G,1254,1,-1
113,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133667,134725,Kazachstania_africana_KAFR_0K00320,1074,1,-1
114,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133824,134716,Vanderwaltozyma_polyspora_Kpol_1033p51,902,10,-1
115,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133809,134725,Zygosaccharomyces_rouxii_ZYRO0G08866g,917,1,-1
116,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133820,134725,Tetrapisispora_blattae_TBLA0B05310,906,1,-1
117,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133816,134725,Tetrapisispora_phaffii_TPHA_0E02830,910,1,-1
118,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133580,134725,Saccharomyces_cerevisiae_YPL204W,1191,1,-1
119,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133580,134725,Saccharomyces_pastorianus_GRS66_005211,1191,1,-1
120,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133803,134725,Zygotorulaspora_mrakii_HG535_0B00830,923,1,-1
121,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133568,134725,Vanderwaltozyma_polyspora_Kpol_1002p53,1192,1,-1
122,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133569,134725,Saccharomyces_paradoxus_CP020257.1_cds_QHS76536.1_1,1202,1,-1
123,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133586,134725,Saccharomyces##mikatae_SMKI_06G3130,1185,1,-1
124,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133671,134725,Kluyveromyces_lactis_KLLA0_D03168g,1067,1,-1
125,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133809,134725,Torulaspora_delbrueckii_TDEL_0E05230,917,1,-1
126,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133569,134725,Saccharomyces_eubayanus_DI49_5263,1199,1,-1
127,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133569,134725,Saccharomyces_pastorianus_GRS66_010945,1199,1,-1
128,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133569,134725,Saccharomyces_uvarum_SUVC_16G0780,1199,1,-1
129,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133569,134725,Saccharomyces_bayanus_var.uvarum_Suva_16.102,1199,1,-1
130,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133811,134725,Zygosaccharomyces_bailii_FUGC01000003.1_cds_SJM83735.1_1,915,1,-1
131,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133811,134725,Zygosaccharomyces_parabailii_ZPAR0C01310_A,915,1,-1
132,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133811,134725,Zygosaccharomyces_parabailii_ZPAR0K01220_B,915,1,-1
133,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133817,134725,Nakaseomyces_glabratus_CAGL0H03553g,909,1,-1
134,yHAB155_kazachstania_spencerorum_160519.fas,scf7180000055673,133812,134725,Naumovozyma_dairenensis_NDAI_0F01640,917,1,-1
135,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,525965,527482,Lachancea_lanzarotensis_LALA0_S05e05996g,1518,1,-1
136,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526019,527482,Lachancea_meyersii_LAME_0B04214G,1479,1,-1
137,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526239,527482,Lachancea_nothofagi_LANO_0E04126G,1244,1,-1
138,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526200,527482,Lachancea_dasiensis_LADA_0H10132G,1271,1,-1
139,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526298,527482,Lachancea_thermotolerans_KLTH0H04158g,1188,1,-1
140,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526257,527482,Lachancea_quebecensis_LAQU0_S08e03994g,1229,1,-1
141,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526209,527482,Lachancea_mirantina_LAMI_0G10330G,1283,1,-1
142,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526282,527482,Lachancea_fermentati_LAFE_0C04588G,1198,1,-1
143,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526575,527482,Eremothecium_gossypii_AGOS_AFL091W,908,1,-1
144,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Nakaseomyces_glabratus_CAGL0H03553g,909,1,-1
145,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Saccharomyces_eubayanus_DI49_5263,909,1,-1
146,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Saccharomyces_pastorianus_GRS66_010945,909,1,-1
147,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Saccharomyces_uvarum_SUVC_16G0780,909,1,-1
148,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Saccharomyces_bayanus_var.uvarum_Suva_16.102,909,1,-1
149,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Torulaspora_globosa_HG536_0E05330,909,1,-1
150,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526572,527482,Zygosaccharomyces_rouxii_ZYRO0G08866g,911,1,-1
151,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Kluyveromyces_lactis_KLLA0_D03168g,909,1,-1
152,GCF_000938715.1_LALA0_genomic.fna,NW_019212883.1,526574,527482,Kluyveromyces_marxianus_KLMA_10641_Corrected_start_codon,909,1,-1
153,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67315,Nakaseomyces_glabratus_CAGL0H03553g,1,1488,1
154,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67072,Torulaspora_globosa_HG536_0E05330,1,1263,1
155,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67072,Torulaspora_delbrueckii_TDEL_0E05230,1,1254,1
156,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67047,Zygosaccharomyces_rouxii_ZYRO0G08866g,1,1256,1
157,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67029,Zygosaccharomyces_parabailii_ZPAR0C01310_A,1,1196,1
158,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67029,Zygosaccharomyces_bailii_FUGC01000003.1_cds_SJM83735.1_1,1,1196,1
159,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67029,Zygosaccharomyces_parabailii_ZPAR0K01220_B,1,1205,1
160,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67072,Zygotorulaspora_mrakii_HG535_0B00830,1,1269,1
161,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66745,Kluyveromyces_marxianus_KLMA_10641_Corrected_start_codon,1,909,1
162,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67047,Saccharomyces_pastorianus_GRS66_005211,1,1190,1
163,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67047,Saccharomyces_cerevisiae_YPL204W,1,1190,1
164,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67061,Saccharomyces_uvarum_SUVC_16G0780,1,1198,1
165,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67061,Saccharomyces_bayanus_var.uvarum_Suva_16.102,1,1198,1
166,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67068,Naumovozyma_dairenensis_NDAI_0I01070,1,1196,1
167,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67059,Saccharomyces_paradoxus_CP020257.1_cds_QHS76536.1_1,1,1202,1
168,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66952,Kazachstania_saulgeensis_KASA_0P01430G,1,1104,1
169,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67061,Saccharomyces_eubayanus_DI49_5263,1,1198,1
170,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67037,Vanderwaltozyma_polyspora_Kpol_1002p53,1,1174,1
171,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67054,Naumovozyma_castellii_NCAS_0D03820,1,1164,1
172,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67061,Saccharomyces_pastorianus_GRS66_010945,1,1198,1
173,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66750,Kazachstania_naganishii_KNAG_0F01980,1,914,1
174,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67047,Saccharomyces##kudriavzevii_SKDZ_16G0730,1,1190,1
175,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67060,Saccharomyces##mikatae_SMKI_06G3130,1,1203,1
176,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66729,Kazachstania_naganishii_KNAG_0D01130,1,893,1
177,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,67042,Lachancea_fermentati_LAFE_0C04588G,1,1161,1
178,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66751,Kazachstania_barnettii_KABA2_04S02882,1,915,1
179,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66747,Kazachstania_africana_KAFR_0K00320,1,911,1
180,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66744,Eremothecium_cymbalariae_Ecym_2202,1,908,1
181,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66744,Lachancea_thermotolerans_KLTH0H04158g,1,908,1
182,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66742,Tetrapisispora_blattae_TBLA0B05310,1,906,1
183,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66973,Kazachstania_exigua_HRR25_1,1,1125,1
184,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65839,66739,Vanderwaltozyma_polyspora_Kpol_1033p51,4,903,1
185,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65849,66745,Lachancea_meyersii_LAME_0B04214G,13,909,1
186,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66744,Eremothecium_gossypii_AGOS_AFL091W,1,908,1
187,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65837,66745,Kluyveromyces_lactis_KLLA0_D03168g,1,909,1
188,GCA_030569875.1_ASM3056987v1_genomic.fna,JAJLTY010000006.1,65849,66744,Lachancea_dasiensis_LADA_0H10132G,13,908,1
189,yHMPu5000034862_zygotorulaspora_florentina_160519.fas,NODE_2_length_1190564_cov_24.2002_ID_3,853702,854988,Zygotorulaspora_mrakii_HG535_0B00830,1284,1,-1
190,yHMPu5000034862_zygotorulaspora_florentina_160519.fas,NODE_2_length_1190564_cov_24.2002_ID_3,853715,854988,Torulaspora_globosa_HG536_0E05330,1262,1,-1
191,yHMPu5000034862_zygotorulaspora_florentina_160519.fas,NODE_2_length_1190564_cov_24.2002_ID_3,853721,854988,Nakaseomyces_glabratus_CAGL0H03553g,1235,1,-1
192,yHMPu5000034862_zygotorulaspora_florentina_160519.fas,NODE_2_length_1190564_cov_24.2002_ID_3,853714,854988,Torulaspora_delbrueckii_TDEL_0E05230,1251,1,-1
