,Genome,Contig,start,end,strand
35,GCA_900074735.1_LAFA0_genomic.fna,LT598476.1,2009124,2012629,-1
36,GCA_030557885.1_ASM3055788v1_genomic.fna,JANIJM010000007.1,218692,222104,-1
37,yHAB159_kazachstania_solicola_160519.fas,scf7180000045026,1,849,1
38,yHAB159_kazachstania_solicola_160519.fas,scf7180000046331,151460,154959,-1
39,yHMPu5000026256_zygotorulaspora_mrakii_161215.fas,NODE_9_length_376274_cov_18.1217_ID_6834,94834,98423,-1
40,yHMPu5000035629_yueomyces_sinensis_160519.fas,NODE_5_length_362465_cov_30.2791_ID_9,289774,291694,1
41,yHMPu5000035629_yueomyces_sinensis_160519.fas,NODE_23_length_171753_cov_34.3795_ID_45,139127,141211,-1
42,yHMPu5000035629_yueomyces_sinensis_160519.fas,NODE_110_length_14957_cov_29.0553_ID_219,8123,10073,1
43,GCF_000026365.1_ASM2636v1_genomic.fna,NC_012996.1,712659,716173,-1
44,yHMPu5000034710_kluyveromyces_dobzhanskii_160519.fas,NODE_7_length_356351_cov_27.068_ID_13,274146,276186,1
45,GCF_000150035.1_ASM15003v1_genomic.fna,NW_001834673.1,127346,130494,-1
46,GCF_000150035.1_ASM15003v1_genomic.fna,NW_001834693.1,150278,152165,1
47,GCA_900074745.1_LAMI0_genomic.fna,LT598469.1,893788,895861,1
48,yHMPu5000034876_tetrapisispora_iriomotensis_160519.fas,flattened_line_11,79629,81522,1
49,yHMPu5000034876_tetrapisispora_iriomotensis_160519.fas,flattened_line_27,100115,103689,-1
50,GCF_001298625.1_SEUB3.0_genomic.fna,NC_030975.1,144955,146956,1
51,GCA_900074755.1_LANO0_genomic.fna,LT598451.1,406715,408665,1
52,yHMPu5000035651_torulaspora_microellipsoides_160519.fas,flattened_line_21,64142,66149,1
53,yHAB166_kazachstania_yakushimaensis_160519.fas,scf7180000044575,44137,47729,-1
54,yHAB166_kazachstania_yakushimaensis_160519.fas,scf7180000044646,40819,42899,-1
55,yHAB166_kazachstania_yakushimaensis_160519.fas,scf7180000044648,172777,174558,1
56,yHAB133_kazachstania_unispora_160519.fas,NODE_1_length_578714_cov_32.0051_ID_1,47762,49076,1
57,yHAB133_kazachstania_unispora_160519.fas,NODE_4_length_347731_cov_33.4145_ID_7,130918,134363,-1
58,yHAB133_kazachstania_unispora_160519.fas,NODE_14_length_212727_cov_35.7466_ID_27,23376,24690,1
59,GCF_000002515.2_ASM251v1_genomic.fna,NC_006040.1,265750,267775,1
60,GCF_001417885.1_Kmar_1.0_genomic.fna,NC_036025.1,1336660,1338640,1
61,GCA_001298625.1_SEUB3.0_genomic.fna,CM003581.1,144955,146956,1
62,GCA_900074715.1_LAME0_genomic.fna,LT598478.1,420739,424271,-1
63,GCA_000292725.1_SacArb1.0_genomic.fna,CM001578.1,145320,147312,1
64,yHAB136_kazachstania_bromeliacearum_160519.fas,NODE_3_length_402036_cov_21.609_ID_5,225281,228645,-1
65,yHAB136_kazachstania_bromeliacearum_160519.fas,NODE_7_length_294517_cov_21.9556_ID_13,184622,187622,1
66,yHAB136_kazachstania_bromeliacearum_160519.fas,NODE_7_length_294517_cov_21.9556_ID_13,271896,274896,1
67,yHAB136_kazachstania_bromeliacearum_160519.fas,NODE_69_length_35753_cov_21.4616_ID_137,15544,17624,-1
68,GCF_000235365.1_ASM23536v1_genomic.fna,NC_016450.1,399173,401126,1
69,yHMPu5000034877_tetrapisispora_namnaonensis_160519.fas,NODE_6_length_572742_cov_75.3705_ID_11,81133,83030,1
70,yHMPu5000034877_tetrapisispora_namnaonensis_160519.fas,NODE_14_length_386087_cov_73.3199_ID_27,279816,281859,1
71,GCA_000149225.2_ASM14922v2_genomic.fna,CM000687.1,412092,414024,1
72,GCF_002079055.1_ASM207905v1_genomic.fna,NC_047502.1,149316,151309,1
73,yHMPu5000035652_torulaspora_maleeae_160613.fas,NODE_2_length_1019301_cov_58.9423_ID_1327,579087,582583,-1
74,GCA_001039675.1_AGH_PRJEB150_V1_genomic.fna,CAPT01000103.1,9113,12603,-1
75,GCA_030573655.1_ASM3057365v1_genomic.fna,JAJMDR010000037.1,32617,34549,1
76,GCA_030573655.1_ASM3057365v1_genomic.fna,JAJMDR010000061.1,21601,24551,-1
77,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000015.1,77606,81471,-1
78,GCF_947243775.1_Skud-IFO1802_genomic.fna,NC_079287.1,156425,158417,1
79,GCF_000142805.1_ASM14280v1_genomic.fna,NC_013084.1,378333,380295,1
80,GCA_017309295.1_JHU_Cniv_v1_genomic.fna,JAEVGP010000004.1,392301,394293,1
81,yHAB164_kazachstania_aerobia_160519.fas,scf7180000020150,70893,74395,-1
82,yHAB164_kazachstania_aerobia_160519.fas,scf7180000020228,153469,155549,-1
83,yHMPu5000034865_zygosaccharomyces_kombuchaensis_160519.fas,NODE_94_length_36131_cov_9.40769_ID_187,15885,19357,-1
84,GCF_000002545.3_ASM254v2_genomic.fna,NC_006031.1,328171,331654,-1
85,GCA_947243795.1_Suva-ZP964_genomic.fna,OX365943.1,163215,165204,1
86,yHAB158_kazachstania_viticola_160519.fas,scf7180000050273,206648,208562,1
87,yHAB158_kazachstania_viticola_160519.fas,scf7180000050302,59449,62651,-1
88,yHMPu5000034866_zygosaccharomyces_bisporus_160519.fas,flattened_line_6,195532,198971,-1
89,yHAB148_kazachstania_intestinalis_160519.fas,NODE_4_length_283908_cov_15.1447_ID_7,122486,125820,-1
90,yHAB148_kazachstania_intestinalis_160519.fas,NODE_54_length_63951_cov_15.3249_ID_107,28817,30554,1
91,yHMPu5000034881_torulaspora_pretoriensis_160519.fas,flattened_line_24,192325,195767,-1
92,yHAB143_kazachstania_siamensis_160519.fas,NODE_2_length_404637_cov_14.9401_ID_3,218875,220816,1
93,yHAB143_kazachstania_siamensis_160519.fas,NODE_11_length_177215_cov_14.9318_ID_21,103934,105248,1
94,GCA_030580015.1_ASM3058001v1_genomic.fna,JAKTSC010000017.1,147766,149701,1
95,GCF_947241705.1_Smik-IFO1815_genomic.fna,NC_079261.1,695838,699324,-1
96,yHAB160_kazachstania_kunashirensis_160519.fas,scf7180000008934,61544,64926,-1
97,yHAB160_kazachstania_kunashirensis_160519.fas,scf7180000008951,52020,55294,-1
